customer_id,state,order_value,items_count,is_promo,customer_tenure_days,lifetime_return_rate,pages_viewed,cart_abandon_rate,segment
1,Andhra Pradesh,2303.74709,1,0,577,0.13,4,0.25,0
1,Meghalaya,1389.29349,3,1,1397,0.16,6,0.19,2
1,Uttarakhand,1913.700849,2,0,309,0.19,7,0.34,0
2,Gujarat,50,1,1,555,0.21,8,0.33,1
2,Himachal Pradesh,1897.917727,1,0,1262,0.25,7,0.24,3
2,Madhya Pradesh,678.5898727,3,0,955,0.095,3.5,0.39,3
2,Sikkim,1692.42351,1,0.5,399.5,0.08,6,0.205,0
3,Goa,2018.624299,1,0,881,0.19,6,0.45,3
3,Meghalaya,1417.02551,1,1,104,0.11,5,0.35,2
3,Mizoram,50,2,0,355,0.11,5,0.3,0
3,Uttar Pradesh,2259.874287,2,0,10,0.14,3,0.38,0
4,Arunachal Pradesh,1906.415533,1,1,371,0.37,4,0.33,2
4,Goa,969.6217714,2,0,641,0.23,2,0.34,0
4,Himachal Pradesh,1552.119276,1,0,1071,0.27,4,0.26,3
4,Madhya Pradesh,1200.656271,1,1,345,0.13,2,0.35,2
4,Punjab,908.1761847,3,1,1302,0.32,8,0.21,1
4,Uttar Pradesh,1571.932755,1,1,86,0.03,5,0.16,2
5,Andhra Pradesh,693.363032,5,1,557,0.14,5,0.41,2
5,Goa,1345.087947,1,0,166,0.2,5,0.08,0
5,Gujarat,375.811221,1,0,460,0.28,5,0.27,0
5,Odisha,1002.936211,3,0,525,0.02,4,0.17,0
5,Uttarakhand,1076.10202,1.5,0.5,830,0.07,4,0.245,2
6,Chhattisgarh,1627.241872,2,0,772,0.03,3,0.26,3
6,Madhya Pradesh,711.4243581,2,0,1161,0.11,3,0.13,3
6,Manipur,1606.179503,1,0,1243,0.01,5,0.35,3
7,Assam,1105.163478,1,1,451,0.23,6,0.4,2
7,Madhya Pradesh,245.9442812,3,0,40,0.04,5,0.37,0
7,Punjab,1032.272727,2,0,874,0.11,2,0.52,3
8,Chhattisgarh,1572.218961,5,0,388,0.16,7,0.34,1
8,Rajasthan,798.0658602,2,1,55,0.28,8,0.36,1
9,Andhra Pradesh,1352.02303,1,1,485,0.12,5,0.25,2
9,Madhya Pradesh,2846.848546,1,0,817,0.1,4,0.4,3
9,Manipur,1189.054378,2,1,1465,0.09,4,0.44,2
9,Mizoram,2629.92034,4,0,241,0.03,3,0.12,0
9,Punjab,50,1,1,735,0.04,4,0.2,2
9,Rajasthan,1906.000679,4,1,733,0.03,3,0.26,2
9,Tamil Nadu,754.7129652,1,0,73,0.08,2,0.45,0
10,Meghalaya,336.4307725,1,0,291,0.19,5,0.16,0
10,Punjab,609.2895665,1,1,1330,0.36,7,0.55,2
10,Rajasthan,781.4217841,1,0,891,0.15,2,0.35,3
10,Tamil Nadu,1852.491093,1,1,82,0.26,2,0.18,2
11,Gujarat,2385.856141,4,0,895,0.19,4,0.51,3
11,Haryana,1531.869307,3,0,1287,0.26,6,0.29,3
11,Jharkhand,2316.161633,2,1,1465,0.21,4,0.35,2
11,Tamil Nadu,2635.696935,4,0,68,0.24,5,0.3,0
11,Tripura,960.3619774,3,0,510,0.16,4,0.17,0
12,Maharashtra,1936.607525,2,0,609,0.33,9,0.4,1
12,Tripura,1116.768402,2,0,778,0.01,4,0.38,3
12,Uttarakhand,2266.07757,5,1,256,0.15,4,0.44,2
13,Karnataka,1814.536894,3,1,460,0.06,5,0.02,2
13,Meghalaya,2205.897204,1,0,436,0.21,11,0.43,1
13,Nagaland,50,1,1,892,0.12,3,0.32,2
13,Sikkim,50,1,0,958,0.18,2,0.26,3
13,Uttar Pradesh,50,1,0,824,0.2,5,0.19,3
14,Arunachal Pradesh,1688.33452,1,0,1344,0.22,9,0.36,1
14,Madhya Pradesh,1836.857324,2,1,990,0.1,6,0.13,2
14,Maharashtra,2038.538938,3,1,344,0.07,2,0.28,2
14,Meghalaya,572.5910192,2,0,1459,0.29,6,0.51,3
14,Odisha,2234.915004,1,1,1123,0.29,7,0.58,2
14,Tripura,2893.015668,1,0,319,0.18,6,0.24,0
15,Goa,1862.070762,1,0,599,0.01,2,0.27,0
15,Himachal Pradesh,1729.346198,2,0,826,0.095,7,0.355,1
15,Jammu and Kashmir,1325.236797,1.5,0.5,612,0.19,5,0.205,2
15,Madhya Pradesh,2282.305174,4,0,686,0.22,9,0.17,1
15,Odisha,1628.459891,1,0,308,0.11,4,0.31,0
16,Jharkhand,1582.0962,4,0,644,0.18,4,0.225,0
16,Karnataka,3244.122908,4,0,82,0.04,1,0.17,0
17,Andhra Pradesh,1145.446613,1,0,543,0.17,5,0.35,0
17,Arunachal Pradesh,2105.254244,2,0,855,0.02,5,0.11,3
17,Karnataka,644.616662,1,1,56,0.2,2,0.21,2
17,Maharashtra,1469.434904,1,0,1293,0.29,3,0.18,3
17,Meghalaya,3126.624414,3,1,590,0.16,5,0.23,2
17,Rajasthan,1020.436323,3,0,1340,0.13,5,0.09,3
18,Goa,405.5175947,1,0,1260,0.11,4,0.2,3
18,Himachal Pradesh,628.8592908,3,1,891,0.3,9,0.46,1
18,Odisha,2631.672134,6,0,1470,0.02,5,0.32,3
18,Punjab,2347.980247,3,1,899,0.29,7,0,2
18,Tripura,1702.365639,1,1,11,0.24,7,0.28,2
19,Manipur,1306.225243,1,1,1440,0.13,4,0.07,2
19,Rajasthan,1307.22143,1,1,123,0.1,4,0.06,2
19,Uttar Pradesh,3644.857702,1,0,1289,0.27,6,0.5,3
20,Jammu and Kashmir,1726.036406,1,0,464,0.13,9,0.44,1
20,Karnataka,1062.002476,2,0,1114,0.01,2,0.23,3
20,Kerala,940.4948427,5,1,388,0.22,7,0.31,2
20,Uttarakhand,2079.339643,1,0,329,0.05,7,0.28,0
21,Mizoram,1370.387493,1,0,1477,0.04,7,0.14,3
21,Tamil Nadu,1588.552174,1,1,683,0.05,5,0.4,2
21,Uttar Pradesh,3083.053429,2,0,514,0.09,11,0.35,1
21,Uttarakhand,2487.050216,4,0,1055,0.18,6,0.24,3
22,Goa,959.9409031,1,1,148,0.17,2,0.48,2
22,Meghalaya,2052.104941,2,1,1340,0.01,5,0.23,2
22,Punjab,1304.605994,1,1,1106,0.18,4,0.06,2
22,Uttar Pradesh,1305.958269,1,0,82,0.07,6,0.28,0
23,Andhra Pradesh,2116.977301,1,0,176,0.19,5,0.28,0
23,Bihar,1106.946623,1,0,557,0.07,4,0.27,0
23,Haryana,2452.368649,2,1,565.5,0.19,5.5,0.41,2
23,Jharkhand,1812.156038,3,0,666,0.06,6,0.09,0
23,Odisha,959.7276509,1,1,1423,0.17,7,0.38,2
24,Chhattisgarh,567.8438417,4,0.5,538.5,0.2,6,0.12,1
24,Maharashtra,50,1,0,1179,0.03,6,0.38,3
24,Manipur,1577.870653,3,1,1149,0.19,6,0.36,2
24,Rajasthan,900.8625518,2,1,1374,0.08,2,0.28,2
24,Uttar Pradesh,689.4480847,2,1,1292,0.06,4,0.1,2
25,Chhattisgarh,3142.584175,2,0,654,0.16,6,0.46,0
26,Assam,988.324213,3,0,1138,0.22,7,0.35,3
26,Chhattisgarh,1680.345113,3,0,598,0.15,2,0.41,0
26,Goa,1883.746805,5,0,702,0.21,7,0.44,1
26,Karnataka,296.9092701,4,1,649,0.01,4,0.25,2
26,Punjab,1471.636357,1,1,604,0.07,5,0.21,2
26,Sikkim,1842.920973,1,1,1244,0.13,3,0.43,2
27,Assam,1523.444319,1,0,1395,0.13,2,0.39,3
27,Gujarat,2583.844854,3,0,1128.5,0.17,5,0.13,3
27,Karnataka,2196.633973,1,1,748,0.18,6,0.46,2
27,Meghalaya,2434.264482,2,1,977,0.17,5,0.62,2
27,Nagaland,1567.07363,3,1,1262,0.07,8,0.6,1
28,Jammu and Kashmir,1076.016564,2,0,347,0.06,7,0.09,0
28,Tamil Nadu,2247.408847,4,0,225,0.2,5,0.46,0
28,Uttar Pradesh,2159.262897,3,0,993,0.01,1,0.1,3
29,Andhra Pradesh,2501.978157,5,0,1199,0.21,7,0.14,3
29,Assam,1122.591085,3,1,83,0.22,3,0.67,2
29,Goa,2331.760132,1,0,912,0.22,7,0.36,1
29,Haryana,1571.321499,3,1,234,0.32,5,0.1,2
29,Jharkhand,376.6392463,4,0,365,0.12,4,0.4,0
29,Sikkim,958.7401825,3,0,603,0.12,9,0.4,1
29,Tripura,723.0532525,1,1,321,0.2,9,0.59,1
29,Uttar Pradesh,609.0243318,3,0,60,0.09,8,0.34,0
30,Goa,681.573191,2,1,700,0.27,6,0.28,2
30,Meghalaya,2411.418598,3,0,1050,0.17,5,0.4,3
30,Odisha,2064.437681,1,0.5,1003.5,0.14,6.5,0.415,1
30,Uttar Pradesh,2030.887661,2,1,504,0.18,5,0.32,2
30,Uttarakhand,879.8852516,1,0,411,0.11,4,0.37,0
30,West Bengal,2191.966766,3,0,1142,0.16,3,0.41,3
31,Jharkhand,1138.129204,2,1,391,0.17,8,0.17,1
31,Odisha,1301.553191,3,0,1248,0.25,5,0.14,3
31,Punjab,764.5855868,1,1,56,0.18,8,0.47,1
32,Gujarat,1661.659798,4,0,290,0.45,11,0.43,1
32,Manipur,2128.78798,3,0,370,0.23,4,0.45,0
32,Meghalaya,1351.222713,2,1,473,0.43,5,0.39,2
32,Tripura,2090.143718,2,0,1067,0.21,5,0.11,3
32,Uttar Pradesh,1037.139201,1,1,329,0.3,10,0.31,1
32,West Bengal,857.1844562,2,1,705,0.15,5,0.25,2
33,Andhra Pradesh,50,1,1,1065,0.12,3,0.07,2
33,Assam,1189.034349,4,1,646.5,0.195,5,0.14,2
33,Goa,908.4574092,2,1,1134,0.14,8,0.25,1
33,Manipur,2289.797882,1,1,1143,0.1,3,0.41,2
33,Punjab,630.9240393,2,0,1381,0.27,6,0.16,3
33,Sikkim,632.9748115,1,0,216,0.19,3,0.29,0
33,Tripura,2586.806794,1,0,888,0.22,5,0.24,3
34,Bihar,470.2224892,1,0,427,0.11,1,0.22,0
